Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink
11,connector micromatch female RA 18,micromatch_female_RA_18,J1,micromatch_female_RA_18,micromatch_female_ra_18,1,,Value,A99489CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/1-338070-8/A99489CT-ND/1955791
12,Inductor 4.7uH 4.4A,L_4.7uH,L1,L_4.7uH,4.7uH_Inductor_OEM,1,https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf,Value,445-6583-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893
13,"Connector, double row, 02x03",CONN_02X03,P1,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491
14,Res 0 2512 3W Jumper,R_0_Jumper,R8,R_0_Jumper,R_2512_OEM,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English,Value,A121322CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=A121322CT-ND
15,Res 100 1%,R_100,R2 R22 R23 R27 R28 R29 R33 R46 R47 R51 R52 R53 R57,R_100,R_0805_OEM,13,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND
16,Res 100k 1%,R_100k,R25 R26 R30 R31 R32 R34 R48 R49 R54 R55 R56 R58,R_100k,R_0805_OEM,12,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-100KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-100KCRCT-ND
17,Res 10k 1%,R_10k,R4 R6 R10,R_10k,R_0805_OEM,3,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND
18,Res 1k 1%,R_1k,R1 R17 R18 R19 R20 R21 R24 R41 R42 R43 R44 R45 R50,R_1k,R_0805_OEM,13,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND
19,Res 200 5%,R_200,R3 R5 R9 R59 R60,R_200,R_0805_OEM,5,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND
20,Resistor 500Ohm 0.1%,R_500,R11 R12 R13 R14 R15 R16 R35 R36 R37 R38 R39 R40,R_500,R_0805_OEM,12,http://www.vishay.com/docs/60057/pnm.pdf,Value,541-1905-2-ND,Digi Key,https://www.digikey.com/product-detail/en/vishay-dale/PNM0402E5000BST1/541-1905-2-ND/4341867
21,Res 55.1k 1%,R_55.1k,R7,R_55.1k,R_0805_OEM,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND
22,"High-Speed CAN Transceiver, 1Mbps, 5V supply, SPLIT pin, -40C to +125C, SOIC8 package",CAN_Transceiver,U2,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,Digi-Key,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn
23,IC OPAMP GP 1MHZ RRO SOT23-5  1.8-6V,MCP6001RT,U3 U4 U5 U6 U7 U8,MCP6001RT,SOT-23-5_OEM,6,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,,MCP6001RT-I/OTCT-ND,Digi-Key,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001RT-I-OT/MCP6001RT-I-OTCT-ND/669498
24,4.5V - 17V Input 1A Synchronous Buck Converter,TPS561201,U1,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND
25,"Two pin crystal, two ground/package pins (pin2 and 3) small symbol",Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND





Component Groups:,25
Component Count:,88
Fitted Components:,88
Number of PCBs:,1
Total components:,88
Schematic Version:,
Schematic Date:,
BoM Date:,Tue 05 Dec 2017 08:39:58 PM EST
Schematic Source:,/home/yichen/Documents/Projects/Formula/MK_III-Boards/boards/suspension_strain/suspension_strain.sch
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1
